"Sciezka Folderu";"Nazwa Pliku";"Rozszerzenie";"Czas Trwania";"Data Utworzenia"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"107 - Love Theme";".mp3";"00:04:07";"2026-05-08 11:00:58"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"108 - You're The First, The Last, My Everything";".mp3";"00:04:36";"2026-05-08 11:01:04"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"109 - Barry White - Practice What You Preach (Official Music Video)";".mp3";"00:04:00";"2026-05-08 11:01:09"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"11 - DᐳEᐳAᐳTᐳHᐳMᐳEᐳTᐳAᐳL";".mp3";"00:04:21";"2026-05-08 11:18:33"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"110 - Wellerman (polska wersja) - Bardbarian";".mp3";"00:02:02";"2026-05-08 11:01:13"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"111 - The Wellermen - Wellerman (Official TikTok Version)";".mp3";"00:02:15";"2026-05-08 11:01:16"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"112 - Purple Disco Machine, Sophie and the Giants - Hypnotized (Official Video)";".mp3";"00:03:16";"2026-05-08 11:01:19"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"113 - Last Night a D.J. Saved My Life";".mp3";"00:04:12";"2026-05-08 11:01:23"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"114 - Never, Never Gonna Give Ya Up";".mp3";"00:07:56";"2026-05-08 11:01:28"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"115 - Nanan - Casa da floresta";".mp3";"00:04:58";"2026-05-08 11:01:36"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"116 - LP - Lost On You (Live)";".mp3";"00:05:08";"2026-05-08 11:01:40"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"117 - La Llorona - Carmen Goett (Official Video)";".mp3";"00:06:21";"2026-05-08 11:01:46"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"118 - Tropkillaz - HIDEHO (Bass Boosted)";".mp3";"00:03:15";"2026-05-08 11:01:52"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"119 - Santana - Corazon Espinado (Official Video) ft. Mana";".mp3";"00:04:35";"2026-05-08 11:01:56"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"12 - MADE IN HEAVEN";".mp3";"00:02:18";"2026-05-08 11:18:38"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"120 - Santana - Smooth (Official Video) ft. Rob Thomas";".mp3";"00:04:16";"2026-05-08 11:02:02"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"121 - Dua Lipa - Levitating (Official Lyrics Video)";".mp3";"00:03:40";"2026-05-08 11:02:07"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"122 - Stumblin' In";".mp3";"00:03:57";"2026-05-08 11:02:12"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"123 - Hallelujah";".mp3";"00:04:08";"2026-05-08 11:02:16"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"124 - No Ordinary Love";".mp3";"00:07:20";"2026-05-08 11:02:22"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"125 - Bob Dylan with Johnny Cash - Girl from the North Country (Official Audio) ft. Johnny Cash";".mp3";"00:03:42";"2026-05-08 11:02:29"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"126 - Arcane Theme - ENEMY ｜ EPIC VERSION (Imagine Dragons Cover) Season 2 Title Soundtrack";".mp3";"00:05:44";"2026-05-08 11:02:33"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"128 - FAR OVER THE MISTY MOUNTAINS COLD ｜ Low Bass Singer Cover";".mp3";"00:04:28";"2026-05-08 11:02:39"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"129 - Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)";".mp3";"00:04:45";"2026-05-08 11:02:44"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"13 - おつかれSUMMER";".mp3";"00:03:59";"2026-05-08 11:18:41"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"130 - The Black Eyed Peas - Where Is The Love？ (Official Music Video)";".mp3";"00:04:10";"2026-05-08 11:02:49"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"131 - Sérgio Mendes - Mas Que Nada (Official Audio)";".mp3";"00:04:23";"2026-05-08 11:02:54"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"132 - Sergio Mendes - Magalenha (Official Visualizer)";".mp3";"00:03:37";"2026-05-08 11:02:59"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"133 - Luciano Pavarotti's Last Public Performance - Torino 2006 Opening Ceremony ｜ Music Monday";".mp3";"00:02:48";"2026-05-08 11:03:03"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"134 - André Rieu - The Second Waltz (official video 2020)";".mp3";"00:04:04";"2026-05-08 11:03:06"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"135 - Estereomance - Gardenia Dreams";".mp3";"00:04:03";"2026-05-08 11:03:12"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"137 - Final Ascent ｜ No Time To Die OST";".mp3";"00:07:25";"2026-05-08 11:03:17"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"138 - Dido - Thank You (Official Video)";".mp3";"00:03:13";"2026-05-08 11:03:24"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"139 - Matera (From ''No Time To Die'' Soundtrack)";".mp3";"00:01:59";"2026-05-08 11:03:28"
